,post_covid,AREAMETRO,Narco,Remesas,Pobreza,post_covid,Remesas,Diferencia,,
1,0,Aguascalientes,0.184121622,300.187381,0.237,1,411.915515,111.728134,,
2,0,CDMX,0.128585004,1335.710176,0.4796,1,2371.62802,1035.917844,,
3,0,Campeche,0.119278779,23.598738,0.325,1,38.568561,14.969823,,
4,0,Canc̼n,0.428571429,4.475927,0.503,1,6.361367,1.88544,,
5,0,Chihuahua,0.172932331,305.194173,0.157,1,394.129766,88.935593,,
6,0,Colima,0.214488636,117.962606,0.25,1,172.416182,54.453576,,
7,0,Cuernavaca,0.123913388,277.831343,0.511833333,1,401.278989,123.447646,,
8,0,Durango,0.179122183,303.225986,0.321,1,412.528471,109.302485,,
9,0,Frontera Tijuana,0.220949264,505.972193,0.237,1,846.28372,340.311527,,
10,0,Guadalajara,0.193414103,929.50018,0.297,1,1414.18718,484.687,,
11,0,Hermosillo,0.253411306,172.959834,0.224,1,238.573303,65.613469,,
12,0,La Laguna,0.109452736,26.554527,0.295,1,34.901406,8.346879,,
13,0,La Paz,0.16284153,34.280301,0.206,1,54.793147,20.512846,,
14,0,Oaxaca,0.077664399,5.581754,0.403,1,9.121389,3.539635,,
15,0,Pachuca,0.089778142,117.068912,0.2345,1,149.12185,32.052938,,
16,0,Puebla,0.109639567,562.391996,0.526,1,730.932035,168.540039,,
17,0,Tampico,0.113500158,149.932458,0.314333333,1,204.288115,54.355657,,
18,0,Tepic,0.158691351,245.370016,0.207,1,351.816911,106.446895,,
19,0,Tlaxcala,0.069314493,183.270281,0.557642857,1,227.034932,43.764651,,
20,0,Toluca,0.115445665,204.412428,0.483714286,1,247.864329,43.451901,,
21,0,Tuxtla Guti̩rrez,0.093023256,2.388031,0.605,1,5.815131,3.4271,,
22,0,Villahermosa,0.128572582,92.850266,0.42,1,173.24657,80.396304,,
23,0,Zacatecas,0.218684795,143.760932,0.2365,1,187.307137,43.546205,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,Area Metropolitana,Remesas Previo Marzo 2020,Remesas Despu�s Marzo 2020,Diferencia
34,,,,,,,Aguascalientes,300.187381,411.915515,411.915515
35,,,,,,,CDMX,1335.710176,2371.62802,2371.62802
36,,,,,,,Campeche,23.598738,38.568561,38.568561
37,,,,,,,Canc̼n,4.475927,6.361367,6.361367
38,,,,,,,Chihuahua,305.194173,394.129766,394.129766
39,,,,,,,Colima,117.962606,172.416182,172.416182
40,,,,,,,Cuernavaca,277.831343,401.278989,401.278989
41,,,,,,,Durango,303.225986,412.528471,412.528471
42,,,,,,,Frontera Tijuana,505.972193,846.28372,846.28372
43,,,,,,,Guadalajara,929.50018,1414.18718,1414.18718
44,,,,,,,Hermosillo,172.959834,238.573303,238.573303
45,,,,,,,La Laguna,26.554527,34.901406,34.901406
46,,,,,,,La Paz,34.280301,54.793147,54.793147
,,,,,,,Oaxaca,5.581754,9.121389,9.121389
,,,,,,,Pachuca,117.068912,149.12185,149.12185
,,,,,,,Puebla,562.391996,730.932035,730.932035
,,,,,,,Tampico,149.932458,204.288115,204.288115
,,,,,,,Tepic,245.370016,351.816911,351.816911
,,,,,,,Tlaxcala,183.270281,227.034932,227.034932
,,,,,,,Toluca,204.412428,247.864329,247.864329
,,,,,,,Tuxtla Guti̩rrez,2.388031,5.815131,5.815131
,,,,,,,Villahermosa,92.850266,173.24657,173.24657
,,,,,,,Zacatecas,143.760932,187.307137,187.307137
